OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
25-1064,"Geography teachers, postsecondary",,4180
25-1065,"Political science teachers, postsecondary",,13230
25-1066,"Psychology teachers, postsecondary",,29400
25-1067,"Sociology teachers, postsecondary",,14220
25-1069,"Social sciences teachers, postsecondary, all other",,6310
25-1071,"Health specialties teachers, postsecondary",,105610
25-1072,"Nursing instructors and teachers, postsecondary",,34360
25-1081,"Education teachers, postsecondary",,47710
25-1082,"Library science teachers, postsecondary",,3740
25-1111,"Criminal justice and law enforcement teachers, postsecondary",,9550
25-1112,"Law teachers, postsecondary",,12580
25-1113,"Social work teachers, postsecondary",,6670
25-1121,"Art, drama, and music teachers, postsecondary",,63730
25-1122,"Communications teachers, postsecondary",,20760
25-1123,"English language and literature teachers, postsecondary",,57400
25-1124,"Foreign language and literature teachers, postsecondary",,22460
25-1125,"History teachers, postsecondary",,19190
25-1126,"Philosophy and religion teachers, postsecondary",,17170
25-1191,Graduate teaching assistants,,111730
25-1192,"Home economics teachers, postsecondary",,3870
25-1193,"Recreation and fitness studies teachers, postsecondary",,15470
25-1194,"Vocational education teachers, postsecondary",,112990
25-1199,"Postsecondary teachers, all other",,248330
25-2011,"Preschool teachers, except special education",,354800
25-2012,"Kindergarten teachers, except special education",,164530
25-2021,"Elementary school teachers, except special education",,1422840
25-2022,"Middle school teachers, except special and vocational education",,623400
25-2023,"Vocational education teachers, middle school",,16820
25-2031,"Secondary school teachers, except special and vocational education",,1021180
25-2032,"Vocational education teachers, secondary school",,102210
25-2041,"Special education teachers, preschool, kindergarten, and elementary school",,205960
25-2042,"Special education teachers, middle school",,98840
25-2043,"Special education teachers, secondary school",,138470
25-3011,"Adult literacy, remedial education, and GED teachers and instructors",,63200
25-3021,Self-enrichment education teachers,,141180
25-3099,"Teachers and instructors, all other",,505570
25-4011,Archivists,,5190
25-4012,Curators,,8590
25-4013,Museum technicians and conservators,,8850
25-4021,Librarians,,149680
25-4031,Library technicians,,113520
25-9011,Audio-visual collections specialists,,8420
25-9021,Farm and home management advisors,,12620
25-9031,Instructional coordinators,,106590
25-9041,Teacher assistants,,1242760
25-9099,"Education, training, and library workers, all other",,65150
27-0000,"Arts, design, entertainment, sports, and media occupations",major,1595710
27-1011,Art directors,,26870
27-1012,Craft artists,,3890
27-1013,"Fine artists, including painters, sculptors, and illustrators",,9570
27-1014,Multi-media artists and animators,,30210
27-1019,"Artists and related workers, all other",,5370
27-1021,Commercial and industrial designers,,33050
27-1022,Fashion designers,,12100
27-1023,Floral designers,,67710
27-1024,Graphic designers,,159720
27-1025,Interior designers,,46360
27-1026,Merchandise displayers and window trimmers,,62220
27-1027,Set and exhibit designers,,8750
27-1029,"Designers, all other",,12650
27-2011,Actors,,59000
27-2012,Producers and directors,,55260
27-2021,Athletes and sports competitors,,12250
27-2022,Coaches and scouts,,122930
27-2023,"Umpires, referees, and other sports officials",,11440
