,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
232,19-1030,Conservation Scientists and Foresters,broad,"28,790"
233,19-1031,Conservation Scientists,detailed,"20,200"
234,19-1032,Foresters,detailed,"8,590"
235,19-1040,Medical Scientists,broad,"109,900"
236,19-1041,Epidemiologists,detailed,"5,460"
237,19-1042,"Medical Scientists, Except Epidemiologists",detailed,"104,440"
238,19-1090,Miscellaneous Life Scientists,broad,"9,070"
239,19-1099,"Life Scientists, All Other",detailed,"9,070"
240,19-2000,Physical Scientists,minor,"266,060"
241,19-2010,Astronomers and Physicists,broad,"17,410"
242,19-2011,Astronomers,detailed,"1,760"
243,19-2012,Physicists,detailed,"15,650"
244,19-2020,Atmospheric and Space Scientists,broad,"10,370"
245,19-2021,Atmospheric and Space Scientists,detailed,"10,370"
246,19-2030,Chemists and Materials Scientists,broad,"91,520"
247,19-2031,Chemists,detailed,"84,720"
248,19-2032,Materials Scientists,detailed,"6,790"
249,19-2040,Environmental Scientists and Geoscientists,broad,"125,630"
250,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,"87,250"
251,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,"31,800"
252,19-2043,Hydrologists,detailed,"6,580"
253,19-2090,Miscellaneous Physical Scientists,broad,"21,130"
254,19-2099,"Physical Scientists, All Other",detailed,"21,130"
255,19-3000,Social Scientists and Related Workers,minor,"239,170"
256,19-3010,Economists,broad,"19,090"
257,19-3011,Economists,detailed,"19,090"
258,19-3020,Survey Researchers,broad,"13,650"
259,19-3022,Survey Researchers,detailed,"13,650"
260,19-3030,Psychologists,broad,"118,990"
261,19-3031,"Clinical, Counseling, and School Psychologists",detailed,"105,600"
262,19-3032,Industrial-Organizational Psychologists,detailed,990
263,19-3039,"Psychologists, All Other",detailed,"12,400"
264,19-3040,Sociologists,broad,"2,620"
265,19-3041,Sociologists,detailed,"2,620"
266,19-3050,Urban and Regional Planners,broad,"35,480"
267,19-3051,Urban and Regional Planners,detailed,"35,480"
268,19-3090,Miscellaneous Social Scientists and Related Workers,broad,"49,340"
269,19-3091,Anthropologists and Archeologists,detailed,"6,980"
270,19-3092,Geographers,detailed,"1,280"
271,19-3093,Historians,detailed,"3,010"
272,19-3094,Political Scientists,detailed,"3,910"
273,19-3099,"Social Scientists and Related Workers, All Other",detailed,"34,160"
274,19-4000,"Life, Physical, and Social Science Technicians",minor,"359,440"
275,19-4010,Agricultural and Food Science Technicians,broad,"20,260"
276,19-4011,Agricultural and Food Science Technicians,detailed,"20,260"
277,19-4020,Biological Technicians,broad,"72,900"
278,19-4021,Biological Technicians,detailed,"72,900"
279,19-4030,Chemical Technicians,broad,"64,770"
280,19-4031,Chemical Technicians,detailed,"64,770"
281,19-4040,Geological and Petroleum Technicians,broad,"16,820"
282,19-4041,Geological and Petroleum Technicians,detailed,"16,820"
283,19-4050,Nuclear Technicians,broad,"6,500"
284,19-4051,Nuclear Technicians,detailed,"6,500"
285,19-4060,Social Science Research Assistants,broad,"28,060"
