ID,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
224,19-1020,Biological Scientists,broad,"109,040"
225,19-1021,Biochemists and Biophysicists,detailed,"28,500"
226,19-1022,Microbiologists,detailed,"20,030"
227,19-1023,Zoologists and Wildlife Biologists,detailed,"17,860"
228,19-1029,"Biological Scientists, All Other",detailed,"42,640"
229,19-1030,Conservation Scientists and Foresters,broad,"30,600"
230,19-1031,Conservation Scientists,detailed,"22,200"
231,19-1032,Foresters,detailed,"8,410"
232,19-1040,Medical Scientists,broad,"127,380"
233,19-1041,Epidemiologists,detailed,"7,060"
234,19-1042,"Medical Scientists, Except Epidemiologists",detailed,"120,320"
235,19-1090,Miscellaneous Life Scientists,broad,"6,850"
236,19-1099,"Life Scientists, All Other",detailed,"6,850"
237,19-2000,Physical Scientists,minor,"254,790"
238,19-2010,Astronomers and Physicists,broad,"19,770"
239,19-2011,Astronomers,detailed,"2,160"
240,19-2012,Physicists,detailed,"17,620"
241,19-2020,Atmospheric and Space Scientists,broad,"9,310"
242,19-2021,Atmospheric and Space Scientists,detailed,"9,310"
243,19-2030,Chemists and Materials Scientists,broad,"92,300"
244,19-2031,Chemists,detailed,"84,560"
245,19-2032,Materials Scientists,detailed,"7,730"
246,19-2040,Environmental Scientists and Geoscientists,broad,"116,020"
247,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,"80,480"
248,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,"29,260"
249,19-2043,Hydrologists,detailed,"6,290"
250,19-2090,Miscellaneous Physical Scientists,broad,"17,380"
251,19-2099,"Physical Scientists, All Other",detailed,"17,380"
252,19-3000,Social Scientists and Related Workers,minor,"247,290"
253,19-3010,Economists,broad,"18,650"
254,19-3011,Economists,detailed,"18,650"
255,19-3020,Survey Researchers,broad,"11,690"
256,19-3022,Survey Researchers,detailed,"11,690"
257,19-3030,Psychologists,broad,"124,750"
258,19-3031,"Clinical, Counseling, and School Psychologists",detailed,"110,490"
259,19-3032,Industrial-Organizational Psychologists,detailed,780
260,19-3039,"Psychologists, All Other",detailed,"13,480"
261,19-3040,Sociologists,broad,"2,710"
262,19-3041,Sociologists,detailed,"2,710"
263,19-3050,Urban and Regional Planners,broad,"37,840"
264,19-3051,Urban and Regional Planners,detailed,"37,840"
265,19-3090,Miscellaneous Social Scientists and Related Workers,broad,"51,640"
266,19-3091,Anthropologists and Archeologists,detailed,"6,020"
267,19-3092,Geographers,detailed,"1,390"
268,19-3093,Historians,detailed,"3,040"
269,19-3094,Political Scientists,detailed,"5,660"
270,19-3099,"Social Scientists and Related Workers, All Other",detailed,"35,530"
271,19-4000,"Life, Physical, and Social Science Technicians",minor,"365,080"
272,19-4010,Agricultural and Food Science Technicians,broad,"21,290"
273,19-4011,Agricultural and Food Science Technicians,detailed,"21,290"
274,19-4020,Biological Technicians,broad,"77,450"
275,19-4021,Biological Technicians,detailed,"77,450"
276,19-4030,Chemical Technicians,broad,"65,500"
277,19-4031,Chemical Technicians,detailed,"65,500"
278,19-4040,Geological and Petroleum Technicians,broad,"15,060"
279,19-4041,Geological and Petroleum Technicians,detailed,"15,060"
280,19-4050,Nuclear Technicians,broad,"7,230"
281,19-4051,Nuclear Technicians,detailed,"7,230"
282,19-4060,Social Science Research Assistants,broad,"34,550"
283,19-4061,Social Science Research Assistants,detailed,"34,550"
284,19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",broad,"144,010"
285,19-4091,"Environmental Science and Protection Technicians, Including Health",detailed,"32,600"
286,19-4092,Forensic Science Technicians,detailed,"15,970"
287,19-4093,Forest and Conservation Technicians,detailed,"30,220"
288,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,"65,220"
289,21-0000,Community and Social Service Occupations,major,"2,171,820"
290,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",minor,"2,090,700"
291,21-1010,Counselors,broad,"735,100"
292,21-1012,"Educational, Guidance, School, and Vocational Counselors",detailed,"285,460"
293,21-1013,Marriage and Family Therapists,detailed,"48,520"
294,21-1015,Rehabilitation Counselors,detailed,"106,860"
295,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,"267,730"
296,21-1019,"Counselors, All Other",detailed,"26,530"
297,21-1020,Social Workers,broad,"662,550"
298,21-1021,"Child, Family, and School Social Workers",detailed,"320,170"
299,21-1022,Healthcare Social Workers,detailed,"168,190"
300,21-1023,Mental Health and Substance Abuse Social Workers,detailed,"116,750"
301,21-1029,"Social Workers, All Other",detailed,"57,440"
302,21-1090,Miscellaneous Community and Social Service Specialists,broad,"693,040"
303,21-1091,Health Educators,detailed,"58,780"
304,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,"87,660"
305,21-1093,Social and Human Service Assistants,detailed,"392,300"
306,21-1094,Community Health Workers,detailed,"56,130"
307,21-1099,"Community and Social Service Specialists, All Other",detailed,"98,170"
308,21-2000,Religious Workers,minor,"81,120"
309,21-2010,Clergy,broad,"50,960"
310,21-2011,Clergy,detailed,"50,960"
311,21-2020,"Directors, Religious Activities and Education",broad,"21,700"
312,21-2021,"Directors, Religious Activities and Education",detailed,"21,700"
313,21-2090,Miscellaneous Religious Workers,broad,"8,460"
314,21-2099,"Religious Workers, All Other",detailed,"8,460"
315,23-0000,Legal Occupations,major,"1,127,900"
316,23-1000,"Lawyers, Judges, and Related Workers",minor,"708,140"
317,23-1010,Lawyers and Judicial Law Clerks,broad,"659,090"
318,23-1011,Lawyers,detailed,"642,750"
319,23-1012,Judicial Law Clerks,detailed,"16,350"
320,23-1020,"Judges, Magistrates, and Other Judicial Workers",broad,"49,040"
321,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,"14,280"
322,23-1022,"Arbitrators, Mediators, and Conciliators",detailed,"6,240"
323,23-1023,"Judges, Magistrate Judges, and Magistrates",detailed,"28,520"
324,23-2000,Legal Support Workers,minor,"419,770"
325,23-2010,Paralegals and Legal Assistants,broad,"309,940"
326,23-2011,Paralegals and Legal Assistants,detailed,"309,940"
327,23-2090,Miscellaneous Legal Support Workers,broad,"109,820"
328,23-2091,Court Reporters,detailed,"14,490"
329,23-2093,"Title Examiners, Abstractors, and Searchers",detailed,"52,180"
330,23-2099,"Legal Support Workers, All Other",detailed,"43,150"
331,25-0000,"Education, Training, and Library Occupations",major,"8,779,780"
332,25-1000,Postsecondary Teachers,minor,"1,517,100"
333,25-1010,"Business Teachers, Postsecondary",broad,"84,230"
334,25-1011,"Business Teachers, Postsecondary",detailed,"84,230"
335,25-1020,"Math and Computer Teachers, Postsecondary",broad,"83,690"
336,25-1021,"Computer Science Teachers, Postsecondary",detailed,"32,430"
337,25-1022,"Mathematical Science Teachers, Postsecondary",detailed,"51,250"
338,25-1030,"Engineering and Architecture Teachers, Postsecondary",broad,"44,420"
339,25-1031,"Architecture Teachers, Postsecondary",detailed,"6,880"
340,25-1032,"Engineering Teachers, Postsecondary",detailed,"37,530"
341,25-1040,"Life Sciences Teachers, Postsecondary",broad,"64,660"
342,25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed,"10,810"
343,25-1042,"Biological Science Teachers, Postsecondary",detailed,"51,770"
344,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",detailed,"2,070"
345,25-1050,"Physical Sciences Teachers, Postsecondary",broad,"52,160"
346,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,"11,020"
347,25-1052,"Chemistry Teachers, Postsecondary",detailed,"21,370"
348,25-1053,"Environmental Science Teachers, Postsecondary",detailed,"6,040"
349,25-1054,"Physics Teachers, Postsecondary",detailed,"13,730"
350,25-1060,"Social Sciences Teachers, Postsecondary",broad,"117,510"
351,25-1061,"Anthropology and Archeology Teachers, Postsecondary",detailed,"5,890"
352,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed,"9,850"
353,25-1063,"Economics Teachers, Postsecondary",detailed,"12,750"
354,25-1064,"Geography Teachers, Postsecondary",detailed,"3,960"
355,25-1065,"Political Science Teachers, Postsecondary",detailed,"15,890"
356,25-1066,"Psychology Teachers, Postsecondary",detailed,"37,630"
357,25-1067,"Sociology Teachers, Postsecondary",detailed,"13,870"
358,25-1069,"Social Sciences Teachers, Postsecondary, All Other",detailed,"17,670"
359,25-1070,"Health Teachers, Postsecondary",broad,"255,190"
360,25-1071,"Health Specialties Teachers, Postsecondary",detailed,"199,480"
361,25-1072,"Nursing Instructors and Teachers, Postsecondary",detailed,"55,710"
362,25-1080,"Education and Library Science Teachers, Postsecondary",broad,"65,570"
363,25-1081,"Education Teachers, Postsecondary",detailed,"60,930"
364,25-1082,"Library Science Teachers, Postsecondary",detailed,"4,650"
365,25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",broad,"44,500"
366,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,"14,890"
367,25-1112,"Law Teachers, Postsecondary",detailed,"16,990"
368,25-1113,"Social Work Teachers, Postsecondary",detailed,"12,620"
369,25-1120,"Arts, Communications, and Humanities Teachers, Postsecondary",broad,"260,960"
370,25-1121,"Art, Drama, and Music Teachers, Postsecondary",detailed,"94,310"
371,25-1122,"Communications Teachers, Postsecondary",detailed,"29,100"
372,25-1123,"English Language and Literature Teachers, Postsecondary",detailed,"68,360"
373,25-1124,"Foreign Language and Literature Teachers, Postsecondary",detailed,"25,590"
374,25-1125,"History Teachers, Postsecondary",detailed,"20,510"
375,25-1126,"Philosophy and Religion Teachers, Postsecondary",detailed,"23,100"
